match_type,device,keyword_theme,rows,impressions,clicks,conversions,cost,revenue,sale_amount,profit,ctr,conversion_rate,cpc,cost_per_conversion,roas,profit_per_dollar
1:1,Desk,shop coupon,5,183886,66619,10232,69198,60317,1277344.49,-8880.007,0.3622842413234286,0.15358981671895405,1.0387126795658896,6.762900703674746,0.8716581404086823,-0.1283275094655915
1:1,Desk,shop coupon code,5,87936,33805,6094,41194,37147,790594.33,-4046.456,0.3844273107714702,0.1802691909480846,1.2185771335601243,6.759763702001969,0.901757537505462,-0.09822925668786717
1:1,Desk,shop discount code,5,18326,7015,1269,8605,8405,183471.96,-199.73700000000002,0.3827894794281349,0.18089807555238774,1.2266571632216678,6.780929866036249,0.9767576990122022,-0.02321173736199884
1:1,Desk,shop promo,5,5572,1710,348,2474,2290,49749.83,-183.555,0.3068916008614501,0.20350877192982456,1.446783625730994,7.109195402298851,0.9256265157639451,-0.07419361358124495
1:1,Desk,shop promo code,5,142526,54312,12439,81485,74305,1595996.08,-7180.985000000001,0.3810673140339306,0.22902857563705994,1.5003130063337753,6.550767746603425,0.9118856231208198,-0.0881264649935571
1:1,Mob,shop coupon,5,719140,267398,14022,91497,76475,1613540.08,-15022.868999999999,0.3718302416775593,0.05243868690117353,0.3421753341461043,6.525246041934103,0.8358197536531252,-0.16418974392603033
1:1,Mob,shop coupon code,5,234766,102347,9546,59272,52946,1125757.46,-6325.433,0.43595324706303296,0.09327093124371012,0.579127868916529,6.209092813743976,0.8932716965852342,-0.10671873734647051
1:1,Mob,shop discount code,5,47029,19497,1810,12726,11444,246918.61000000002,-1281.883,0.41457398626379466,0.09283479509668154,0.6527158024311432,7.030939226519337,0.8992613547068993,-0.10072945151658023
1:1,Mob,shop promo,5,12153,4268,454,2634,2404,50486.770000000004,-229.547,0.3511890068295894,0.10637300843486411,0.6171508903467666,5.8017621145374445,0.9126803340926348,-0.08714768413059985
1:1,Mob,shop promo code,5,304202,132203,16174,93570,88171,1886808.12,-5398.772,0.43458951617675096,0.12234215562430505,0.7077751639524065,5.785210832199827,0.9422998824409533,-0.05769768088062413
Exact,Desk,Black Friday/Cyber Monday,1,257,24,7,3,45,898.8,41.946,0.0933852140077821,0.2916666666666667,0.125,0.42857142857142855,15.0,13.982
Exact,Desk,Competitor,5,3969,905,119,932,810,16489.23,-121.94200000000001,0.22801713277903754,0.13149171270718232,1.0298342541436465,7.831932773109243,0.869098712446352,-0.13083905579399144
Exact,Desk,Coupon Code,5,43171,13508,2121,14709,13742,306676.2,-966.502,0.3128952305946121,0.1570180633698549,1.08891027539236,6.934936350777935,0.9342579373172888,-0.0657082058603576
Exact,Desk,Discount Code,5,15229,3287,435,3464,2913,66348.87,-551.219,0.21583820342767088,0.13233951931852753,1.0538484940675388,7.963218390804598,0.8409353348729792,-0.15912788683602772
Exact,Desk,Free Shipping,5,4095,900,139,362,346,8960.61,-15.365000000000002,0.21978021978021978,0.15444444444444444,0.4022222222222222,2.6043165467625897,0.9558011049723757,-0.04244475138121547
Exact,Desk,Offer,5,5140,1011,182,1625,1286,27182.25,-338.565,0.19669260700389105,0.18001978239366964,1.6073194856577646,8.928571428571429,0.7913846153846154,-0.20834769230769232
Exact,Desk,Promo Code,5,51253,16814,3592,23846,23821,526442.64,-24.363999999999976,0.32805884533588275,0.21363149756155583,1.418222909480195,6.638641425389755,0.9989516061393945,-0.001021722720791746
Exact,Desk,Sale,5,46214,4560,231,2828,1309,26857.53,-1518.835,0.09867139827757822,0.0506578947368421,0.6201754385964913,12.242424242424242,0.4628712871287129,-0.5370703677510609
Exact,Mob,Black Friday/Cyber Monday,1,3662,266,24,44,160,3268.63,115.963,0.0726379027853632,0.09022556390977443,0.16541353383458646,1.8333333333333333,3.6363636363636362,2.6355227272727273
Exact,Mob,Competitor,5,8116,2487,139,1134,724,16298.75,-410.217,0.30643173977328736,0.055890631282669884,0.4559710494571773,8.158273381294965,0.6384479717813051,-0.36174338624338626
Exact,Mob,Coupon Code,5,131273,45441,2905,20100,17534,378705.14,-2566.124,0.3461564830543981,0.06392905085715543,0.4423318148808345,6.919104991394148,0.8723383084577114,-0.1276678606965174
Exact,Mob,Discount Code,5,39889,10557,578,5250,3700,82133.33,-1550.658,0.2646594299180225,0.05475040257648953,0.49730036942313155,9.083044982698961,0.7047619047619048,-0.29536342857142855
Exact,Mob,Free Shipping,5,6246,1550,105,333,170,3558.0699999999997,-162.586,0.24815882164585334,0.06774193548387097,0.21483870967741936,3.1714285714285713,0.5105105105105106,-0.4882462462462463
Exact,Mob,Offer,5,11549,2542,195,1559,1484,31302.47,-74.729,0.22010563685167547,0.07671125098347757,0.6132966168371361,7.994871794871795,0.9518922386144965,-0.047933932007697244
Exact,Mob,Promo Code,5,107057,40152,4084,25398,24164,526196.48,-1234.482,0.3750525421037391,0.10171348874277744,0.6325463239689181,6.218903036238982,0.951413497125758,-0.048605480746515474
Exact,Mob,Sale,5,46474,5038,182,3732,1090,23424.760000000002,-2641.749,0.10840469940181607,0.036125446605795954,0.740770146883684,20.505494505494507,0.2920685959271168,-0.7078641479099678
Phrase,Desk,Competitor,3,109,10,2,7,13,261.4,6.07,0.09174311926605505,0.2,0.7,3.5,1.8571428571428572,0.8671428571428572
Phrase,Desk,Coupon Code,5,27162,8449,1411,9995,9101,202284.91,-894.515,0.3110595685148369,0.16700201207243462,1.18298023434726,7.0836286321757616,0.9105552776388194,-0.08949624812406203
Phrase,Desk,Discount Code,5,10234,1594,175,1724,1303,30320.06,-421.018,0.15575532538596834,0.10978670012547051,1.0815558343789209,9.851428571428572,0.755800464037123,-0.24420997679814382
Phrase,Desk,Free Shipping,5,342,38,3,17,28,841.9300000000001,11.538,0.1111111111111111,0.07894736842105263,0.4473684210526316,5.666666666666667,1.6470588235294117,0.6787058823529412
Phrase,Desk,Offer,5,16779,2670,345,2885,2108,45035.82,-777.2570000000001,0.15912748077954586,0.12921348314606743,1.0805243445692885,8.36231884057971,0.7306759098786828,-0.2694131715771231
Phrase,Desk,Promo Code,5,61144,15065,2905,19618,18640,401091.57,-978.317,0.24638558157791443,0.19283106538333886,1.3022236973116494,6.753184165232358,0.9501478234274646,-0.04986833520236517
Phrase,Desk,Sale,5,34549,2643,141,1870,902,18587.92,-968.234,0.07650004341659672,0.053348467650397274,0.7075293227393114,13.26241134751773,0.4823529411764706,-0.517772192513369
Phrase,Mob,Competitor,5,330,77,10,41,87,1736.24,45.82299999999999,0.23333333333333334,0.12987012987012986,0.5324675324675324,4.1,2.1219512195121952,1.1176341463414632
Phrase,Mob,Coupon Code,5,42180,14081,839,7183,5168,113044.3,-2015.58,0.3338311996206733,0.05958383637525744,0.5101200198849514,8.561382598331347,0.719476541834888,-0.2806042043714325
Phrase,Mob,Discount Code,5,32913,6912,361,3698,2730,58461.81,-968.862,0.2100082034454471,0.05222800925925926,0.5350115740740741,10.24376731301939,0.738236884802596,-0.2619962141698215
Phrase,Mob,Free Shipping,5,636,109,5,30,11,230.95,-18.45,0.17138364779874213,0.045871559633027525,0.27522935779816515,6.0,0.36666666666666664,-0.615
Phrase,Mob,Offer,5,38372,9013,654,6057,4056,83231.16,-2000.0749999999998,0.2348848118419681,0.0725618550981915,0.6720292910240764,9.261467889908257,0.6696384348687469,-0.33020884926531285
Phrase,Mob,Promo Code,5,81574,20554,1578,12058,9645,207411.15,-2412.557,0.2519675386765391,0.0767733774447796,0.5866498005254451,7.641318124207858,0.799883894509869,-0.20007936639575383
Phrase,Mob,Sale,5,49245,5072,141,2215,966,21123.6,-1248.658,0.10299522794192303,0.02779968454258675,0.436711356466877,15.709219858156029,0.43611738148984197,-0.5637282167042889
